block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010203005028,001,09060,05,21,25,063,212
370010203005029,001,09060,05,21,25,063,89
370010203005030,001,99999,05,21,25,06N,16
370010203005031,001,99999,05,21,25,06N,11
370010203005032,001,27280,05,21,25,06N,8
370010203005033,001,27280,05,21,25,06N,30
370010203005034,001,27280,05,21,25,06N,11
370010203005035,001,27280,05,21,25,06N,9
370010203005036,001,27280,05,21,25,06N,0
370010203005037,001,27280,05,21,25,06N,76
370010203005038,001,27280,05,21,25,06N,0
370010203005039,001,27280,05,21,25,06N,15
370010203005040,001,99999,05,21,25,13,0
370010203005041,001,27280,05,21,25,06N,75
370010203005042,001,27280,05,21,25,06N,8
370010203005043,001,27280,05,21,25,06N,6
370010203005044,001,09060,05,21,25,063,55
370010203005045,001,09060,05,21,25,063,12
370010203005046,001,09060,05,21,25,063,14
370010203005047,001,09060,05,21,25,063,17
370010203005048,001,09060,05,21,25,063,0
370010203005049,001,27280,05,21,25,06N,0
370010203005050,001,27280,05,21,25,06N,73
370010203005051,001,27280,05,21,25,06N,32
370010203005052,001,27280,05,21,25,06N,33
370010203005053,001,27280,05,21,25,06N,5
370010203005054,001,27280,05,21,25,06N,40
370010203005055,001,27280,05,21,25,06N,2
370010203005056,001,27280,05,21,25,06N,0
370010203005057,001,27280,05,21,25,06N,30
370010203005996,001,09060,05,21,25,063,0
370010203005997,001,99999,05,21,25,13,0
370010203005998,001,30260,05,21,25,13,0
370010203005999,001,30260,05,21,25,13,0
370010204001000,001,99999,05,21,25,127,37
370010204001001,001,26460,05,21,25,127,0
370010204001002,001,26460,05,21,25,127,9
370010204001003,001,26460,05,21,25,127,183
370010204001004,001,26460,05,21,25,127,13
370010204001996,001,26460,05,21,25,127,0
370010204001997,001,99999,05,21,25,127,0
370010204001998,001,99999,05,21,25,127,0
370010204001999,001,99999,05,21,25,05,0
370010204002000,001,99999,05,21,25,127,34
