modern_precinct,sbe2006_precinct,dominant_share_blocks,sbe2006_parts,modern_block_count,block_count
HALIFAX - LIT,HALIFAX - LITTLETON 2,61.63,2,172,106
HALIFAX - RINGW,HALIFAX - RINGWOOD,98.33,2,60,59
HALIFAX - RR 10,HALIFAX - ROANOKE RAPIDS 10,100.0,1,67,67
HALIFAX - RR 11,HALIFAX - ROANOKE RAPIDS 11,100.0,1,70,70
HALIFAX - RR1-2,HALIFAX - ROANOKE RAPIDS 01,72.31,2,65,47
HALIFAX - RR3-4,HALIFAX - ROANOKE RAPIDS 03,61.22,3,98,60
HALIFAX - RR7-9,HALIFAX - ROANOKE RAPIDS 09,66.67,2,102,68
HALIFAX - RRCE,HALIFAX - ROANOKE RAPIDS 08,39.1,4,156,61
HALIFAX - SN,HALIFAX - SCOTLAND NECK 1,55.3,2,132,73
HALIFAX - WEL 3,HALIFAX - WELDON 3,98.88,2,89,88
HALIFAX - WEL1-2,HALIFAX - WELDON 1,48.82,4,127,62
HARNETT - PR08,HARNETT - BLACK RIVER,97.98,2,198,194
HARNETT - PR23,HARNETT - BOONE TRAIL,99.29,2,141,140
HARNETT - PR24,HARNETT - COATS/GROVE,99.65,2,284,283
HARNETT - PR25,HARNETT - EAST AVERASBORO,100.0,1,247,247
HARNETT - PR26,HARNETT - ERWIN/DUKE,99.58,2,237,236
HARNETT - PR28,HARNETT - NORTHWEST,91.6,4,119,109
HARNETT - PR29,HARNETT - WEST AVERASBORO,100.0,1,262,262
HARNETT - PR32,HARNETT - NEILLS CREEK,100.0,1,147,147
HARNETT - PR33,HARNETT - BARBEQUE,100.0,1,148,148
HARNETT - PR34,HARNETT - BARBEQUE,100.0,1,95,95
HARNETT - PR35,HARNETT - ANDERSON CREEK,98.85,2,87,86
HARNETT - PR36,HARNETT - ANDERSON CREEK,100.0,1,116,116
HARNETT - PR37,HARNETT - JOHNSONVILLE,90.65,3,139,126
HARNETT - PR38,HARNETT - STEWARTS CREEK,99.01,2,101,100
HARNETT - PR39,HARNETT - LILLINGTON,90.48,3,168,152
HAYWOOD - AC,HAYWOOD - ALLENS CREEK,100.0,1,87,87
HAYWOOD - BC,HAYWOOD - BIG CREEK,96.97,2,33,32
HAYWOOD - BE1,HAYWOOD - BEAVERDAM 1,98.81,2,84,83
HAYWOOD - BE2,HAYWOOD - BEAVERDAM 2,100.0,1,78,78
HAYWOOD - BE3,HAYWOOD - BEAVERDAM 3,97.98,3,99,97
HAYWOOD - BE4,HAYWOOD - BEAVERDAM 4,100.0,1,59,59
HAYWOOD - BE5-6,HAYWOOD - BEAVERDAM 5/6,100.0,1,81,81
HAYWOOD - BE7,HAYWOOD - BEAVERDAM 7,100.0,1,31,31
HAYWOOD - CE,HAYWOOD - CECIL,93.02,3,43,40
HAYWOOD - CLN,HAYWOOD - CLYDE NORTH,100.0,1,87,87
HAYWOOD - CLS,HAYWOOD - CLYDE SOUTH,98.5,2,133,131
HAYWOOD - CR,HAYWOOD - CRABTREE,100.0,1,75,75
HAYWOOD - EF,HAYWOOD - EAST FORK,97.5,2,80,78
HAYWOOD - FC-1,HAYWOOD - FINES CREEK 1,100.0,1,81,81
HAYWOOD - FC-2,HAYWOOD - FINES CREEK 2,100.0,1,17,17
HAYWOOD - HA,HAYWOOD - HAZELWOOD,100.0,1,59,59
HAYWOOD - ID,HAYWOOD - IRON DUFF,100.0,1,48,48
HAYWOOD - IH,HAYWOOD - IVY HILL,100.0,1,405,405
HAYWOOD - JC,HAYWOOD - JONATHAN CREEK,99.38,2,161,160
HAYWOOD - LJ,HAYWOOD - LAKE JUNALUSKA,100.0,1,126,126
HAYWOOD - P,HAYWOOD - PIGEON,96.59,3,88,85
HAYWOOD - PC,HAYWOOD - PIGEON CENTER,100.0,1,34,34
HAYWOOD - SA,HAYWOOD - SAUNOOK,100.0,1,77,77
HAYWOOD - WC,HAYWOOD - WAYNESVILLE CENTER,95.65,2,46,44
HAYWOOD - WE,HAYWOOD - WAYNESVILLE EAST,96.92,3,65,63
HAYWOOD - WO,HAYWOOD - WHITE OAK,100.0,1,27,27
HAYWOOD - WS-1,HAYWOOD - WAYNESVILLE SOUTH 1,96.55,4,116,112
HAYWOOD - WS-2,HAYWOOD - WAYNESVILLE SOUTH 2,94.53,5,128,121
HAYWOOD - WW,HAYWOOD - WAYNESVILLE WEST,87.39,2,111,97
HENDERSON - AR,HENDERSON - ARMORY,93.83,4,81,76
HENDERSON - AT,HENDERSON - ATKINSON,99.32,2,148,147
HENDERSON - BC,HENDERSON - BAT CAVE,98.39,2,62,61
HENDERSON - BK,HENDERSON - BRICKTON,94.52,4,73,69
HENDERSON - CB,HENDERSON - CRAB CREEK,98.77,2,81,80
HENDERSON - CC,HENDERSON - CLEAR CREEK,93.79,3,145,136
HENDERSON - ED,HENDERSON - EDNEYVILLE,100.0,1,67,67
HENDERSON - EF,HENDERSON - EAST FLAT ROCK,97.48,3,119,116
HENDERSON - ES,HENDERSON - ETOWAH SOUTH,96.34,4,82,79
HENDERSON - EV,HENDERSON - ETOWAH VALLEY,97.56,3,82,80
HENDERSON - FL,HENDERSON - FLETCHER,94.89,4,137,130
HENDERSON - FR,HENDERSON - FLAT ROCK,100.0,1,113,113
HENDERSON - GM,HENDERSON - GRIMESDALE,96.3,2,54,52
HENDERSON - GR,HENDERSON - GREEN RIVER,99.39,2,163,162
HENDERSON - HC,HENDERSON - HOOPERS CREEK,96.04,2,101,97
HENDERSON - HS,HENDERSON - HORSE SHOE,92.77,4,83,77
HENDERSON - HV-1,HENDERSON - HENDERSONVILLE 1,98.99,2,99,98
HENDERSON - HV-2,HENDERSON - HENDERSONVILLE 2,97.92,4,192,188
HENDERSON - HV-3,HENDERSON - HENDERSONVILLE 3,96.91,3,162,157
HENDERSON - LJ,HENDERSON - LONG JOHN MOUNTAIN,100.0,1,47,47
HENDERSON - LP,HENDERSON - LAUREL PARK,95.35,4,86,82
HENDERSON - MG,HENDERSON - MOORES GROVE,94.12,4,51,48
HENDERSON - NB,HENDERSON - BLUE RIDGE NORTH,95.69,3,116,111
HENDERSON - NE,HENDERSON - NORTHEAST,82.02,3,89,73
HENDERSON - NM,HENDERSON - MILLS RIVER NORTH,95.21,5,146,139
HENDERSON - NW,HENDERSON - NORTHWEST,88.68,2,53,47
HENDERSON - PR,HENDERSON - PARK RIDGE,97.1,3,69,67
HENDERSON - PV,HENDERSON - PISGAH VIEW,94.83,4,58,55
HENDERSON - RG,HENDERSON - RUGBY,100.0,1,61,61
HENDERSON - RR,HENDERSON - RAVEN ROCK,98.65,2,74,73
HENDERSON - SB,HENDERSON - BLUE RIDGE SOUTH,99.0,2,100,99
HENDERSON - SE,HENDERSON - SOUTHEAST,91.46,3,82,75
HENDERSON - SM,HENDERSON - MILLS RIVER SOUTH,100.0,1,147,147
HENDERSON - SW,HENDERSON - SOUTHWEST,94.29,2,105,99
HERTFORD - A1,HERTFORD - AHOSKIE 1,98.61,2,144,142
HERTFORD - A2,HERTFORD - AHOSKIE 2,100.0,1,110,110
HERTFORD - A3,HERTFORD - AHOSKIE 3,100.0,1,57,57
HERTFORD - BR,HERTFORD - BRYANTVILLE,100.0,1,21,21
HERTFORD - CM,HERTFORD - COMO,100.0,1,39,39
HERTFORD - CO,HERTFORD - COFIELD,97.62,2,42,41
HERTFORD - HV,HERTFORD - HARRELLSVILLE,100.0,1,55,55
HERTFORD - M1,HERTFORD - MURFREESBORO 1,100.0,1,120,120
HERTFORD - M2,HERTFORD - MURFREESBORO 2,100.0,1,43,43
HERTFORD - ML,HERTFORD - MILLENNIUM,100.0,1,42,42
HERTFORD - SJ,HERTFORD - ST JOHN,93.75,3,48,45
HERTFORD - UN,HERTFORD - UNION,98.11,2,53,52
HERTFORD - WN,HERTFORD - WINTON,100.0,1,86,86
HOKE - 01,HOKE - ALLENDALE,100.0,1,82,82
HOKE - 02,HOKE - ANTIOCH,100.0,1,127,127
HOKE - 03,HOKE - BLUE SPRINGS,100.0,1,70,70
HOKE - 04,HOKE - BUCHAN,97.87,2,47,46
HOKE - 05,HOKE - MCCAIN,59.82,2,112,67
HOKE - 06B,HOKE - PUPPY CREEK,100.0,1,63,63
HOKE - 12,HOKE - ROCKFISH,98.75,2,80,79
HOKE - 13,HOKE - STONEWALL,100.0,1,105,105
HOKE - 14,HOKE - PRECINCTS NOT DEFINED,49.21,4,126,62
HOKE - 15,HOKE - PUPPY CREEK,94.29,2,35,33
HOKE - 61,HOKE - RAEFORD 1,100.0,1,90,90
HOKE - 62,HOKE - RAEFORD 2,96.92,2,65,63
HOKE - 63,HOKE - RAEFORD 3,100.0,1,69,69
HOKE - 64,HOKE - RAEFORD 4,100.0,1,119,119
HOKE - 65,HOKE - RAEFORD 5,97.56,2,41,40
HYDE - BM,HYDE - BURGESS MILL,100.0,1,92,92
HYDE - ENG,HYDE - ENGELHARD,96.86,2,159,154
HYDE - FF,HYDE - FAIRFIELD,84.95,3,93,79
HYDE - LL,HYDE - LAKE LANDING,90.32,2,93,84
HYDE - OCK,HYDE - OCRACOKE,100.0,1,52,52
HYDE - SLAD,HYDE - SLADESVILLE,100.0,1,131,131
HYDE - SQ,HYDE - SWAN QUARTER,88.76,3,89,79
IREDELL - BA-1,IREDELL - BARRINGER,93.21,6,221,206
IREDELL - BE,IREDELL - BETHANY,95.73,5,117,112
IREDELL - CC1,IREDELL - CODDLE CREEK 1,100.0,1,174,174
IREDELL - CC2,IREDELL - CODDLE CREEK 2,93.05,5,187,174
IREDELL - CC3-1,IREDELL - CODDLE CREEK 3,98.77,2,244,241
IREDELL - CC4-1,IREDELL - CODDLE CREEK 4,83.13,4,166,138
IREDELL - CD,IREDELL - CONCORD,97.87,3,141,138
IREDELL - CH-A,IREDELL - CHAMBERSBURG A,82.08,7,106,87
IREDELL - CH-B,IREDELL - CHAMBERSBURG B,91.53,4,118,108
IREDELL - CS,IREDELL - COOL SPRINGS,94.17,4,103,97
IREDELL - DV1A1A,IREDELL - DAVIDSON 1A,93.98,3,133,125
IREDELL - DV1B-1,IREDELL - DAVIDSON 1B,88.98,5,127,113
IREDELL - DV2A-1,IREDELL - DAVIDSON 2A,43.48,5,161,70
IREDELL - DV2B-1,IREDELL - DAVIDSON 2B,88.83,4,206,183
IREDELL - DV3A,IREDELL - DAVIDSON 1A,99.24,2,132,131
IREDELL - EM,IREDELL - EAGLE MILLS,96.75,3,123,119
IREDELL - FT,IREDELL - FALLSTOWN,97.66,3,256,250
IREDELL - NH,IREDELL - NEW HOPE,96.8,3,125,121
IREDELL - OL,IREDELL - OLIN,96.43,3,84,81
IREDELL - SB,IREDELL - SHARPESBURG,97.56,3,123,120
IREDELL - SH-A,IREDELL - SHILOH A,98.08,3,104,102
IREDELL - SH-B,IREDELL - SHILOH B,98.63,2,73,72
IREDELL - ST1,IREDELL - STATESVILLE 1,93.94,3,99,93
IREDELL - ST2,IREDELL - STATESVILLE 2,96.93,3,163,158
IREDELL - ST3,IREDELL - STATESVILLE 3,99.38,2,160,159
IREDELL - ST4,IREDELL - STATESVILLE 4,99.16,2,119,118
IREDELL - ST5,IREDELL - STATESVILLE 5,97.32,3,149,145
IREDELL - ST6,IREDELL - STATESVILLE 6,95.98,5,224,215
IREDELL - TB,IREDELL - TURNERSBURG,83.78,7,111,93
IREDELL - UG,IREDELL - UNION GROVE,95.07,4,142,135
JACKSON - BCK,JACKSON - BARKERS CREEK,92.31,4,78,72
JACKSON - CAN,JACKSON - CANADA,100.0,1,92,92
JACKSON - CAS,JACKSON - CASHIERS,91.98,4,187,172
JACKSON - CFK,JACKSON - CANEY FORK,100.0,1,42,42
JACKSON - CUL,JACKSON - CULLOWHEE,95.04,4,141,134
JACKSON - GCK,JACKSON - GREENS CREEK,100.0,1,40,40
JACKSON - GLV,JACKSON - HAMBURG,75.42,4,240,181
JACKSON - QUA,JACKSON - QUALLA,95.65,2,184,176
JACKSON - RIV,JACKSON - RIVER,92.31,4,78,72
JACKSON - SAV,JACKSON - SAVANNAH,97.62,2,42,41
JACKSON - SCC,"JACKSON - SCOTTS CREEK 1, 2, & 3",89.36,4,141,126
JACKSON - SDC,JACKSON - SYLVA-SOUTH WD,46.52,7,316,147
JACKSON - WEB,JACKSON - WEBSTER,97.47,3,79,77
JOHNSTON - PR04,JOHNSTON - BENTONVILLE,98.39,2,62,61
JOHNSTON - PR07,JOHNSTON - BOON HILL NORTH,100.0,1,164,164
JOHNSTON - PR08,JOHNSTON - BOON HILL SOUTH,100.0,1,54,54
JOHNSTON - PR09,JOHNSTON - CLAYTON EAST,98.43,2,127,125
JOHNSTON - PR10A,JOHNSTON - CLAYTON NORTH,100.0,1,131,131
JOHNSTON - PR10B,JOHNSTON - CLAYTON NORTH,100.0,1,65,65
JOHNSTON - PR11A,JOHNSTON - CLAYTON WEST 1,100.0,1,37,37
JOHNSTON - PR11B,JOHNSTON - CLAYTON WEST 2,100.0,1,102,102
JOHNSTON - PR12A,JOHNSTON - CLEVELAND NORTH,97.96,2,49,48
JOHNSTON - PR12B,JOHNSTON - CLEVELAND NORTH,100.0,1,37,37
JOHNSTON - PR13,JOHNSTON - ELEVATION NORTH,97.92,2,48,47
JOHNSTON - PR14,JOHNSTON - ELEVATION SOUTH,98.61,2,72,71
JOHNSTON - PR19,JOHNSTON - MICRO,100.0,1,105,105
JOHNSTON - PR20,JOHNSTON - ONEALS NORTH,89.61,6,77,69
JOHNSTON - PR21,JOHNSTON - ONEALS SOUTH,98.67,2,75,74
JOHNSTON - PR22,JOHNSTON - PINE LEVEL,100.0,1,201,201
JOHNSTON - PR23A,JOHNSTON - PLEASANT GROVE NORTH,100.0,1,36,36
JOHNSTON - PR23B,JOHNSTON - PLEASANT GROVE NORTH,85.71,4,49,42
JOHNSTON - PR24,JOHNSTON - SELMA EAST,99.57,2,232,231
JOHNSTON - PR25,JOHNSTON - SELMA WEST,98.81,2,84,83
JOHNSTON - PR26,JOHNSTON - SMITHFIELD EAST,100.0,1,171,171
JOHNSTON - PR27A,JOHNSTON - SMITHFIELD NORTH,100.0,1,57,57
JOHNSTON - PR27B,JOHNSTON - SMITHFIELD NORTH,100.0,1,84,84
JOHNSTON - PR28,JOHNSTON - SMITHFIELD SOUTH,100.0,1,112,112
JOHNSTON - PR29A,JOHNSTON - ARCHER'S LODGE,100.0,1,95,95
JOHNSTON - PR29B,JOHNSTON - FLOWERS PLANTATION,100.0,1,76,76
JOHNSTON - PR30,JOHNSTON - WILSONS MILLS,100.0,1,122,122
JOHNSTON - PR31A,JOHNSTON - CLEVELAND SOUTHEAST,100.0,1,20,20
JOHNSTON - PR31B,JOHNSTON - CLEVELAND SOUTHWEST,90.0,2,80,72
JOHNSTON - PR32,JOHNSTON - WILDERS NORTH,100.0,1,46,46
JOHNSTON - PR33,JOHNSTON - PLEASANT GROVE SOUTH,97.22,2,36,35
JOHNSTON - PR34,JOHNSTON - CLAYTON SOUTH,100.0,1,101,101
JOHNSTON - PR35,JOHNSTON - BANNER WEST,40.06,5,342,137
JOHNSTON - PR36,JOHNSTON - BEULAH SOUTH,59.9,3,202,121
JOHNSTON - PR37,JOHNSTON - INGRAMS EAST,49.64,4,274,136
JOHNSTON - PR38,JOHNSTON - MEADOW NORTH,49.18,5,122,60
JONES - P01,JONES - BEAVER CREEK,97.14,3,70,68
JONES - P02,JONES - CHINQUAPIN,97.22,2,36,35
JONES - P03,JONES - CYPRESS CREEK,96.23,3,53,51
JONES - P04,JONES - POLLOCKSVILLE,99.45,2,182,181
JONES - P05,JONES - TRENTON,93.5,3,123,115
JONES - P06,JONES - TUCKAHOE,92.19,4,64,59
JONES - P07,JONES - WHITE OAK,91.43,5,140,128
LEE - A1,LEE - SANFORD WEST 1,74.21,3,159,118
LEE - A2,LEE - SANFORD EAST,63.67,3,311,198
LEE - B1,LEE - DEEP RIVER,78.99,3,119,94
LEE - B2,LEE - SANFORD WEST 3,97.73,3,132,129
LEE - C1,LEE - GREENWOOD,100.0,1,104,104
LEE - C2,LEE - POCKET EAST,63.3,3,109,69
LEE - D1,LEE - POCKET WEST,43.07,5,137,59
LEE - D2,LEE - SANFORD WEST 4,46.34,3,164,76
LEE - E1,LEE - CAPE FEAR,97.0,2,100,97
LEE - E2,LEE - JONESBORO EAST,96.99,2,133,129
LENOIR - C,LENOIR - CONTENTNEA,99.19,2,123,122
LENOIR - FC,LENOIR - FALLING CREEK,100.0,1,151,151
LENOIR - I,LENOIR - INSTITUTE,100.0,1,59,59
LENOIR - K1,LENOIR - KINSTON 1,100.0,1,80,80
LENOIR - K2,LENOIR - KINSTON 2,95.79,2,95,91
LENOIR - K3,LENOIR - KINSTON 3,99.25,2,133,132
LENOIR - K4,LENOIR - KINSTON 4,100.0,1,76,76
LENOIR - K5,LENOIR - KINSTON 5,100.0,1,63,63
LENOIR - K6,LENOIR - KINSTON 6,95.65,2,69,66
LENOIR - K7,LENOIR - KINSTON 7,100.0,1,77,77
LENOIR - K8,LENOIR - KINSTON 8,100.0,1,95,95
LENOIR - K9,LENOIR - KINSTON 9,98.57,2,70,69
LENOIR - MH,LENOIR - MOSELEY HALL,99.6,2,249,248
LENOIR - N,LENOIR - NEUSE,97.95,3,195,191
LENOIR - PH1,LENOIR - PINK HILL 1,100.0,1,28,28
LENOIR - PH2,LENOIR - PINK HILL 2,94.06,4,101,95
LENOIR - SH,LENOIR - SANDHILL,96.67,2,30,29
LENOIR - SW,LENOIR - SOUTHWEST,91.18,3,68,62
LENOIR - T1,LENOIR - TRENT 1,100.0,1,76,76
LENOIR - T2,LENOIR - TRENT 2,100.0,1,39,39
LENOIR - V,LENOIR - VANCE,97.65,2,85,83
LENOIR - W,LENOIR - WOODINGTON,96.15,2,52,50
LINCOLN - AS25,LINCOLN - ASBURY,98.0,2,50,49
LINCOLN - BC13,LINCOLN - BOGER CITY,100.0,1,85,85
LINCOLN - BS26,LINCOLN - BUFFALO SHOALS,82.05,2,39,32
LINCOLN - CF19,LINCOLN - COWANS FORD,100.0,1,44,44
LINCOLN - DN29,LINCOLN - DENVER,100.0,1,71,71
LINCOLN - DV08,LINCOLN - DANIELS/VALE,100.0,1,81,81
LINCOLN - DW28,LINCOLN - DENVER WEST,100.0,1,57,57
LINCOLN - HC33,LINCOLN - HEAVNERS,54.21,4,107,58
LINCOLN - IS20,LINCOLN - IRON STATION SOUTH,100.0,1,51,51
LINCOLN - IS23,LINCOLN - IRON STATION,95.24,2,63,60
LINCOLN - LB34,LINCOLN - LOVE MEMORIAL,57.14,4,126,72
LINCOLN - LI14,LINCOLN - LITHIA,100.0,1,60,60
LINCOLN - LN11,LINCOLN - LINCOLNTON NORTH,98.85,2,87,86
LINCOLN - LS12,LINCOLN - LINCOLNTON SOUTH,100.0,1,116,116
LINCOLN - LW18,LINCOLN - LOWESVILLE WEST,100.0,1,40,40
LINCOLN - LW31,LINCOLN - LOWESVILLE,100.0,1,86,86
LINCOLN - NB35,LINCOLN - NORTH BROOK,69.18,4,146,101
LINCOLN - OB21,LINCOLN - ORE BANK,95.83,2,48,46
LINCOLN - PC22,LINCOLN - PUMPKIN CENTER,100.0,1,41,41
LINCOLN - SL24,LINCOLN - SALEM,100.0,1,67,67
LINCOLN - ST36,LINCOLN - HICKORY GROVE,64.78,3,159,103
LINCOLN - TA37,LINCOLN - TRIANGLE EAST,55.1,2,49,27
LINCOLN - WP32,LINCOLN - WESTPORT,100.0,1,73,73
MACON - 01,MACON - FRANKLIN NORTH,93.88,3,98,92
MACON - 02,MACON - FRANKLIN SOUTH,99.2,2,125,124
MACON - 03,MACON - FRANKLIN EAST,95.03,5,161,153
MACON - 04,MACON - IOTLA,93.85,5,65,61
MACON - 05,MACON - UNION,95.58,5,113,108
MACON - 06,MACON - MILLSHOAL,98.66,3,149,147
MACON - 07,MACON - ELLIJAY,98.02,2,101,99
MACON - 08,MACON - SUGARFORK,96.3,4,81,78
MACON - 09,MACON - HIGHLANDS,97.1,2,310,301
MACON - 10,MACON - FLATS,100.0,1,56,56
MACON - 11,MACON - SMITHBRIDGE,100.0,1,155,155
MACON - 12,MACON - CARTOOGECHAYE,99.36,2,156,155
MACON - 13,MACON - NANTAHALA,99.39,2,165,164
MACON - 14,MACON - BURNINGTOWN,100.0,1,64,64
MACON - 15,MACON - COWEE,98.97,2,194,192
MADISON - BEECH,MADISON - BEECH GLEN,94.12,3,136,128
MADISON - EBBS C,MADISON - EBBS CHAPEL,97.53,3,81,79
MADISON - GRAPEV,MADISON - GRAPEVINE,97.78,2,45,44
MADISON - HOT SP,MADISON - HOT SPRINGS,91.59,3,107,98
MADISON - LAUREL,MADISON - LAUREL,91.38,3,58,53
MADISON - MARS H,MADISON - MARS HILL,96.79,4,187,181
MADISON - NORTH,MADISON - MARSHALL NORTH,88.46,3,156,138
MADISON - REVERE,MADISON - REVERE-RICE COVE,88.89,3,18,16
MADISON - SANDY,MADISON - SANDY MUSH,96.67,2,30,29
MADISON - SOUTH,MADISON - MARSHALL SOUTH,88.46,2,78,69
MADISON - SPRING,MADISON - SPRING CREEK,94.87,2,78,74
MADISON - WALNUT,MADISON - WALNUT,84.0,3,75,63
MARTIN - BG,MARTIN - BEAR GRASS,100.0,1,63,63
MARTIN - CR,MARTIN - CROSS ROADS,100.0,1,73,73
MARTIN - GRF,MARTIN - GRIFFINS,90.36,2,83,75
MARTIN - GSN,MARTIN - GOOSENEST,71.57,3,102,73
MARTIN - HMT,MARTIN - HAMILTON,77.46,2,71,55
MARTIN - JMV,MARTIN - JAMESVILLE,81.75,3,137,112
MARTIN - RBV,MARTIN - ROBERSONVILLE 2,61.95,2,226,140
MARTIN - WM1,MARTIN - WILLIAMSTON 1,94.95,2,198,188
MARTIN - WM2,MARTIN - WILLIAMSTON 2,98.53,2,136,134
MCDOWELL - CCREEK,MCDOWELL - CROOKED CREEK,100.0,1,75,75
MCDOWELL - DYSART,MCDOWELL - DYSARTSVILLE,87.1,3,93,81
MCDOWELL - FORT 1,MCDOWELL - OLD FORT 1,87.01,3,77,67
MCDOWELL - FORT 2,MCDOWELL - OLD FORT 2,80.91,6,110,89
MCDOWELL - GLENWD,MCDOWELL - GLENWOOD,95.04,3,121,115
MCDOWELL - HIGGIN,MCDOWELL - HIGGINS,63.16,5,95,60
MCDOWELL - M.COVE,MCDOWELL - MONTFORD COVE,62.86,4,35,22
MCDOWELL - MAR 1,MCDOWELL - MARION 1,74.22,5,128,95
MCDOWELL - MAR 2,MCDOWELL - MARION 2,95.0,2,60,57
MCDOWELL - MAR 3,MCDOWELL - MARION 3,92.45,3,53,49
MCDOWELL - MAR 4,MCDOWELL - MARION 4,95.24,2,84,80
MCDOWELL - MAR 5,MCDOWELL - MARION 5,96.55,2,58,56
MCDOWELL - N.COVE,MCDOWELL - NORTH COVE,92.59,4,108,100
MCDOWELL - NEBO,MCDOWELL - NEBO,82.47,3,97,80
MCDOWELL - PLEASA,MCDOWELL - PLEASANT GARDENS,76.79,4,112,86
MCDOWELL - T.COVE,MCDOWELL - TURKEY COVE,89.74,5,78,70
MCDOWELL - WEST M,MCDOWELL - WEST MARION,71.31,6,122,87
MECKLENBURG - 001,MECKLENBURG - 001,97.14,2,35,34
MECKLENBURG - 002,MECKLENBURG - 002,100.0,1,86,86
MECKLENBURG - 003,MECKLENBURG - 003,97.37,2,38,37
MECKLENBURG - 004,MECKLENBURG - 004,100.0,1,34,34
MECKLENBURG - 005,MECKLENBURG - 005,100.0,1,19,19
MECKLENBURG - 006,MECKLENBURG - 006,96.77,2,31,30
MECKLENBURG - 007,MECKLENBURG - 007,100.0,1,26,26
MECKLENBURG - 008,MECKLENBURG - 008,100.0,1,38,38
MECKLENBURG - 009,MECKLENBURG - 009,100.0,1,77,77
MECKLENBURG - 010,MECKLENBURG - 010,100.0,1,60,60
MECKLENBURG - 011,MECKLENBURG - 011,100.0,1,163,163
MECKLENBURG - 012,MECKLENBURG - 012,100.0,1,73,73
MECKLENBURG - 013,MECKLENBURG - 013,100.0,1,172,172
MECKLENBURG - 014,MECKLENBURG - 014,98.98,2,98,97
MECKLENBURG - 015,MECKLENBURG - 015,100.0,1,63,63
MECKLENBURG - 016,MECKLENBURG - 016,92.59,3,54,50
MECKLENBURG - 017,MECKLENBURG - 017,100.0,1,49,49
MECKLENBURG - 018,MECKLENBURG - 018,100.0,1,22,22
MECKLENBURG - 019,MECKLENBURG - 019,100.0,1,30,30
MECKLENBURG - 020,MECKLENBURG - 020,100.0,1,37,37
MECKLENBURG - 021,MECKLENBURG - 021,100.0,1,37,37
MECKLENBURG - 022,MECKLENBURG - 022,100.0,1,116,116
MECKLENBURG - 023,MECKLENBURG - 023,100.0,1,65,65
MECKLENBURG - 024,MECKLENBURG - 024,100.0,1,86,86
MECKLENBURG - 025,MECKLENBURG - 025,100.0,1,40,40
MECKLENBURG - 026,MECKLENBURG - 026,100.0,1,73,73
MECKLENBURG - 027,MECKLENBURG - 027,100.0,1,89,89
MECKLENBURG - 028,MECKLENBURG - 028,100.0,1,51,51
MECKLENBURG - 029,MECKLENBURG - 029,100.0,1,27,27
MECKLENBURG - 030,MECKLENBURG - 030,99.02,2,102,101
MECKLENBURG - 031,MECKLENBURG - 031,98.33,2,60,59
MECKLENBURG - 032,MECKLENBURG - 032,100.0,1,27,27
MECKLENBURG - 033,MECKLENBURG - 033,100.0,1,47,47
MECKLENBURG - 034,MECKLENBURG - 034,100.0,1,52,52
MECKLENBURG - 035,MECKLENBURG - 035,100.0,1,26,26
MECKLENBURG - 036,MECKLENBURG - 036,100.0,1,34,34
MECKLENBURG - 037,MECKLENBURG - 037,100.0,1,41,41
MECKLENBURG - 038,MECKLENBURG - 038,100.0,1,26,26
MECKLENBURG - 039,MECKLENBURG - 039,100.0,1,109,109
MECKLENBURG - 040,MECKLENBURG - 040,96.3,2,54,52
MECKLENBURG - 041,MECKLENBURG - 041,100.0,1,103,103
MECKLENBURG - 042,MECKLENBURG - 042,100.0,1,58,58
MECKLENBURG - 043,MECKLENBURG - 043,100.0,1,51,51
MECKLENBURG - 044,MECKLENBURG - 044,100.0,1,58,58
MECKLENBURG - 045,MECKLENBURG - 045,100.0,1,31,31
MECKLENBURG - 046,MECKLENBURG - 046,100.0,1,29,29
MECKLENBURG - 047,MECKLENBURG - 047,100.0,1,38,38
MECKLENBURG - 048,MECKLENBURG - 048,100.0,1,30,30
MECKLENBURG - 049,MECKLENBURG - 049,100.0,1,32,32
MECKLENBURG - 050,MECKLENBURG - 050,100.0,1,45,45
MECKLENBURG - 051,MECKLENBURG - 051,100.0,1,38,38
MECKLENBURG - 052,MECKLENBURG - 052,98.72,2,78,77
MECKLENBURG - 053,MECKLENBURG - 053,100.0,1,104,104
MECKLENBURG - 054,MECKLENBURG - 054,100.0,1,104,104
MECKLENBURG - 055,MECKLENBURG - 055,100.0,1,44,44
MECKLENBURG - 056,MECKLENBURG - 056,98.44,2,64,63
MECKLENBURG - 057,MECKLENBURG - 057,100.0,1,39,39
MECKLENBURG - 058,MECKLENBURG - 058,100.0,1,51,51
MECKLENBURG - 059,MECKLENBURG - 059,100.0,1,37,37
MECKLENBURG - 060,MECKLENBURG - 060,100.0,1,34,34
MECKLENBURG - 061,MECKLENBURG - 061,100.0,1,39,39
MECKLENBURG - 062,MECKLENBURG - 062,100.0,1,31,31
MECKLENBURG - 063,MECKLENBURG - 063,100.0,1,27,27
MECKLENBURG - 064,MECKLENBURG - 064,100.0,1,23,23
MECKLENBURG - 065,MECKLENBURG - 065,100.0,1,20,20
MECKLENBURG - 066,MECKLENBURG - 066,100.0,1,25,25
MECKLENBURG - 067,MECKLENBURG - 067,100.0,1,29,29
MECKLENBURG - 068,MECKLENBURG - 068,100.0,1,13,13
MECKLENBURG - 069,MECKLENBURG - 069,100.0,1,57,57
