sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
CABARRUS - 02-09,CABARRUS - 02-09,9237,160,9237,1.0
CABARRUS - 03-00,CABARRUS - 03-00,6066,140,6066,1.0
CABARRUS - 04-01,CABARRUS - 04-01,3476,132,3476,1.0
CABARRUS - 04-03,CABARRUS - 04-03,3353,124,3353,1.0
CABARRUS - 04-03,CABARRUS - 04-11,0,1,3353,0.0
CABARRUS - 04-08,CABARRUS - 04-08,1961,45,1961,1.0
CABARRUS - 04-09,CABARRUS - 04-09,3849,80,3849,1.0
CABARRUS - 04-09,CABARRUS - 03-00,0,1,3849,0.0
CABARRUS - 04-11,CABARRUS - 04-11,3931,187,3931,1.0
CABARRUS - 04-12,CABARRUS - 04-12,6324,194,6324,1.0
CABARRUS - 04-13,CABARRUS - 04-13,6167,111,6167,1.0
CABARRUS - 05-00,CABARRUS - 05-00,3040,122,3040,1.0
CABARRUS - 06-00,CABARRUS - 06-00,2312,71,2312,1.0
CABARRUS - 07-00,CABARRUS - 07-00,1279,59,1279,1.0
CABARRUS - 08-00,CABARRUS - 08-00,4227,164,4227,1.0
CABARRUS - 09-00,CABARRUS - 09-00,3010,90,3010,1.0
CABARRUS - 10-00,CABARRUS - 10-00,6250,226,6250,1.0
CABARRUS - 11-01,CABARRUS - 11-01,7236,113,7236,1.0
CABARRUS - 11-02,CABARRUS - 11-02,3717,98,3717,1.0
CABARRUS - 12-03,CABARRUS - 12-03,2490,108,2490,1.0
CABARRUS - 12-04,CABARRUS - 12-04,3607,81,3607,1.0
CABARRUS - 12-04,CABARRUS - 12-03,0,1,3607,0.0
CABARRUS - 12-05,CABARRUS - 12-05,2719,65,2719,1.0
CABARRUS - 12-08,CABARRUS - 12-08,2373,90,2373,1.0
CABARRUS - 12-08,CABARRUS - 02-01,0,1,2373,0.0
CABARRUS - 12-09,CABARRUS - 12-09,3192,73,3192,1.0
CABARRUS - 12-11,CABARRUS - 12-11,2288,65,2288,1.0
CABARRUS - 12-12,CABARRUS - 12-12,2559,73,2559,1.0
CABARRUS - 12-13,CABARRUS - 12-13,5783,213,5783,1.0
CABARRUS - 12-14,CABARRUS - 12-14,3223,85,3223,1.0
CALDWELL - PR001,CALDWELL - 1,6039,145,6039,1.0
CALDWELL - PR002,CALDWELL - 2,2238,216,2238,1.0
CALDWELL - PR003,CALDWELL - 3,1316,51,1316,1.0
CALDWELL - PR004,CALDWELL - 4,3439,104,3439,1.0
CALDWELL - PR005,CALDWELL - 5,3912,162,3912,1.0
CALDWELL - PR006,CALDWELL - 6,1977,46,1977,1.0
CALDWELL - PR007,CALDWELL - 7,2143,72,2143,1.0
CALDWELL - PR007,CALDWELL - 13,0,1,2143,0.0
CALDWELL - PR008,CALDWELL - 8,4281,133,4281,1.0
CALDWELL - PR009,CALDWELL - 9,3367,78,3367,1.0
CALDWELL - PR010,CALDWELL - 10,3838,68,3838,1.0
CALDWELL - PR011,CALDWELL - 11,4564,161,4564,1.0
CALDWELL - PR012,CALDWELL - 7,3982,159,3982,1.0
CALDWELL - PR013,CALDWELL - 6,3740,99,3740,1.0
