line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2002,state_house,us_senate,state_house_us_senate_2002.json,72,True,1.0,True,-25.16,-25.2,-0.04,DEM,DEM,False,22444,22467,23,20422,90.9,20422,0,0.0,FORSYTH:20422 (100.0%),direct_sf1_vtd:20422 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0605
2024,2004,state_senate,governor,state_senate_governor_2004.json,11,True,0.999999,True,-26.65,-26.68,-0.03,DEM,DEM,False,75045,74934,-111,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0596
2022,2004,state_senate,president,state_senate_president_2004.json,31,True,0.999997,True,21.67,21.7,0.03,REP,REP,False,77021,77133,112,45049,58.4,45048,1,0.0,FORSYTH:45046 (100.0%); GUILFORD:3 (0.0%),direct_sf1_vtd:45048 (100.0%); historical_plan_cell:1 (0.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0591
2022,2004,state_senate,governor,state_senate_governor_2004.json,31,True,0.999999,True,-6.45,-6.42,0.03,DEM,DEM,False,77373,77485,112,45196,58.33,45195,1,0.0,FORSYTH:45193 (100.0%); GUILFORD:3 (0.0%),direct_sf1_vtd:45195 (100.0%); historical_plan_cell:1 (0.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.059
2022,2004,state_senate,governor,state_senate_governor_2004.json,12,True,0.999999,True,-7.78,-7.78,0.0,DEM,DEM,False,53522,53368,-154,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0575
2024,2004,state_senate,governor,state_senate_governor_2004.json,30,True,0.999999,True,9.74,9.72,-0.02,REP,REP,False,75889,75754,-135,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0556
2022,2004,state_house,governor,state_house_governor_2004.json,101,True,1.000003,True,-37.98,-37.94,0.04,DEM,DEM,False,23274,23292,18,15502,66.56,15502,0,0.0,MECKLENBURG:15502 (100.0%),direct_sf1_vtd:15502 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0555
2022,2004,state_house,president,state_house_president_2004.json,101,True,1.000002,True,-22.86,-22.82,0.04,DEM,DEM,False,23589,23607,18,15666,66.36,15666,0,0.0,MECKLENBURG:15666 (100.0%),direct_sf1_vtd:15666 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0553
2024,2004,state_house,governor,state_house_governor_2004.json,48,True,0.999996,True,-30.08,-30.1,-0.02,DEM,DEM,False,21678,21640,-38,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0551
2024,2004,state_house,governor,state_house_governor_2004.json,86,True,0.999996,True,4.23,4.21,-0.02,REP,REP,False,32104,32053,-51,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0518
2024,2004,state_senate,governor,state_senate_governor_2004.json,24,True,0.999999,True,-37.15,-37.17,-0.02,DEM,DEM,False,56478,56406,-72,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0455
2024,2004,state_senate,governor,state_senate_governor_2004.json,10,True,0.999999,True,2.55,2.54,-0.01,REP,REP,False,54525,54616,91,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0434
2022,2004,state_house,governor,state_house_governor_2004.json,109,True,1.000003,True,7.92,7.96,0.04,REP,REP,False,25304,25302,-2,19212,75.93,19212,0,0.0,GASTON:19212 (100.0%),direct_sf1_vtd:19212 (100.0%),production_calibration_review,Production margin was manually calibrated; this is not a clean geometry comparison.,0.0416
2022,2004,state_house,president,state_house_president_2004.json,72,True,1.000002,True,-29.41,-29.43,-0.02,DEM,DEM,False,30725,30757,32,23200,75.43,23200,0,0.0,FORSYTH:23200 (100.0%),direct_sf1_vtd:23200 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0408
2022,2004,state_senate,governor,state_senate_governor_2004.json,22,True,0.999999,True,-45.81,-45.84,-0.03,DEM,DEM,False,63771,63739,-32,0,0.0,0,0,26.57,WAKE:0 (100.0%),direct_sf1_vtd:0 (73.4%); historical_plan_cell:0 (26.6%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.04
2024,2004,state_senate,governor,state_senate_governor_2004.json,23,True,0.999999,True,-39.12,-39.1,0.02,DEM,DEM,False,88280,88201,-79,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0379
2024,2004,state_senate,governor,state_senate_governor_2004.json,36,True,0.999999,True,7.41,7.39,-0.02,REP,REP,False,84555,84482,-73,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0373
2022,2004,state_house,governor,state_house_governor_2004.json,72,True,1.000003,True,-41.94,-41.95,-0.01,DEM,DEM,False,30433,30465,32,23303,76.49,23303,0,0.0,FORSYTH:23303 (100.0%),direct_sf1_vtd:23303 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.031
2024,2004,state_house,governor,state_house_governor_2004.json,22,True,0.999996,True,-21.77,-21.75,0.02,DEM,DEM,False,34605,34624,19,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.031
2022,2004,state_senate,president,state_senate_president_2004.json,44,True,0.999997,True,29.86,29.84,-0.02,REP,REP,False,72071,72032,-39,4238,5.88,4238,0,0.0,GASTON:4238 (100.0%),direct_sf1_vtd:4238 (100.0%),no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0308
